"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Shreveport-Bossier City, LA","43340",2022,120,94,26,0,0,0,0,97,58,42,0,0,64,56,0
"Sierra Vista-Douglas, AZ","43420",2022,90,81,9,0,0,0,0,88,54,44,0,0,84,0,6
"Sioux City, IA-NE-SD","43580",2022,40,40,0,0,0,0,0,50,37,23,0,0,0,40,0
"Somerset, PA","43740",2022,58,58,0,0,0,0,0,44,40,33,0,0,58,0,0
"Sonora, CA","43760",2022,30,30,0,0,0,0,0,36,34,27,0,0,30,0,0
"South Bend-Mishawaka, IN-MI","43780",2022,30,24,6,0,0,0,0,69,56,37,0,0,0,30,0
"Spartanburg, SC","43900",2022,118,100,18,0,0,0,0,74,55,37,0,0,33,85,0
"Spokane-Spokane Valley, WA","44060",2022,31,12,19,0,0,0,0,71,66,55,0,0,0,30,1
"Springfield, IL","44100",2022,87,78,9,0,0,0,0,63,52,34,0,0,21,66,0
"Springfield, MA","44140",2022,59,45,14,0,0,0,0,66,58,39,0,1,25,33,0
"Springfield, MO","44180",2022,90,73,17,0,0,0,0,94,57,36,0,0,17,72,1
"Springfield, OH","44220",2022,119,88,31,0,0,0,0,82,58,40,0,0,46,73,0
"St. George, UT","41100",2022,120,112,8,0,0,0,0,90,49,42,0,0,117,3,0
"St. Joseph, MO-KS","41140",2022,90,75,15,0,0,0,0,72,54,34,0,0,23,36,31
"St. Louis, MO-IL","41180",2022,95,47,48,0,0,0,0,87,62,51,1,3,20,60,11
"St. Marys, PA","41260",2022,59,59,0,0,0,0,0,44,40,35,0,0,59,0,0
"State College, PA","44300",2022,58,58,0,0,0,0,0,44,39,35,0,0,58,0,0
"Steamboat Springs, CO","44460",2022,69,69,0,0,0,0,0,37,28,16,0,0,0,0,69
"Stockton-Lodi, CA","44700",2022,32,7,25,0,0,0,0,100,91,75,1,0,0,31,0
"Summerville, GA","44900",2022,31,28,3,0,0,0,0,77,49,40,0,0,31,0,0
"Syracuse, NY","45060",2022,120,113,7,0,0,0,0,58,47,38,0,0,92,28,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2022,90,81,9,0,0,0,0,87,51,40,0,0,90,0,0
"Taos, NM","45340",2022,88,81,7,0,0,0,0,71,45,17,0,0,0,88,0
"Texarkana, TX-AR","45500",2022,31,26,5,0,0,0,0,88,56,35,0,0,0,31,0
"Toledo, OH","45780",2022,87,77,10,0,0,0,0,83,54,35,0,0,26,61,0
"Trenton, NJ","45940",2022,58,58,0,0,0,0,0,43,37,33,0,0,58,0,0
"Truckee-Grass Valley, CA","46020",2022,59,48,11,0,0,0,0,92,58,45,0,0,41,18,0
"Tucson, AZ","46060",2022,90,78,10,2,0,0,0,122,53,34,0,0,0,0,90
"Tulsa, OK","46140",2022,91,68,21,2,0,0,0,147,64,40,1,1,44,44,1
"Tupelo, MS","46180",2022,31,28,3,0,0,0,0,100,49,43,0,0,31,0,0
"Tuscaloosa, AL","46220",2022,17,14,3,0,0,0,0,62,55,25,0,0,0,17,0
"Tyler, TX","46340",2022,31,30,1,0,0,0,0,61,45,36,0,0,31,0,0
"Utica-Rome, NY","46540",2022,119,117,2,0,0,0,0,60,42,23,0,0,0,119,0
"Valdosta, GA","46660",2022,79,51,28,0,0,0,0,100,70,38,0,0,0,79,0
"Vallejo-Fairfield, CA","46700",2022,91,63,28,0,0,0,0,85,66,44,1,0,49,41,0
"Vernal, UT","46860",2022,120,106,14,0,0,0,0,93,54,43,0,1,119,0,0
"Victoria, TX","47020",2022,50,50,0,0,0,0,0,50,45,33,0,0,50,0,0
"Vincennes, IN","47180",2022,59,59,0,0,0,0,0,45,41,31,0,0,59,0,0
"Vineyard Haven, MA","47240",2022,53,52,1,0,0,0,0,51,42,38,0,0,53,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2022,97,91,6,0,0,0,0,63,45,35,1,14,26,50,6
"Visalia-Porterville, CA","47300",2022,90,80,10,0,0,0,0,70,54,39,0,0,77,13,0
"Wabash, IN","47340",2022,59,59,0,0,0,0,0,43,39,31,0,0,59,0,0
"Waco, TX","47380",2022,32,32,0,0,0,0,0,50,41,35,1,0,24,7,0
"Walla Walla, WA","47460",2022,59,55,4,0,0,0,0,62,48,34,0,0,39,20,0
"Warner Robins, GA","47580",2022,90,66,23,1,0,0,0,102,69,37,0,0,0,90,0
"Washington Court House, OH","47920",2022,59,59,0,0,0,0,0,44,40,32,0,0,59,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2022,97,80,17,0,0,0,0,66,57,41,1,7,48,35,6
"Waterloo-Cedar Falls, IA","47940",2022,120,95,25,0,0,0,0,69,55,38,0,0,46,74,0
"Watertown-Fort Drum, NY","48060",2022,116,115,1,0,0,0,0,64,43,35,0,0,116,0,0
"Weirton-Steubenville, WV-OH","48260",2022,90,50,40,0,0,0,0,93,71,47,0,0,14,76,0
"Wenatchee, WA","48300",2022,31,22,9,0,0,0,0,62,54,43,0,0,0,31,0
"Wheeling, WV-OH","48540",2022,89,85,4,0,0,0,0,60,35,20,0,66,0,21,2
"Wilmington, OH","48940",2022,31,29,2,0,0,0,0,64,48,38,0,0,31,0,0
"Winchester, VA-WV","49020",2022,90,62,28,0,0,0,0,88,60,40,0,0,20,70,0
"Winston-Salem, NC","49180",2022,59,45,13,1,0,0,0,137,55,38,0,4,0,55,0
"Worcester, MA-CT","49340",2022,60,47,13,0,0,0,0,70,61,40,1,9,20,30,0
"Yakima, WA","49420",2022,31,5,24,2,0,0,0,109,93,60,0,0,0,31,0
"Youngstown-Warren-Boardman, OH-PA","49660",2022,90,70,19,1,0,0,0,102,59,41,0,0,51,39,0
"Yuba City, CA","49700",2022,31,8,22,1,0,0,0,102,83,69,0,0,0,31,0
"Yuma, AZ","49740",2022,90,59,28,3,0,0,0,129,60,42,0,0,44,14,32
